id,place_name,average_rating,granular_category,lat,lng
31,The Big Brown,N\A,park,24.7135517,46.6752957
32,MC park,3.5,park,24.7549864,46.8668359
33,Wadi Namar Street View,4.6,park,24.5703869,46.6727275
34,King Salman Science Oasis,4.3,park,24.7042283,46.7000134
35,Al Wizarat Park,N\A,park,24.6761033,46.7101383
36,KSAU-HS HOUSING PARK,N\A,park,24.762463,46.8682223
37,Hanifa Valley,4.2,park,24.5515014,46.7417103
38,Valley area,5,park,24.5730463,46.6844149
39,Bader district third park,3.8,park,24.5545726,46.7029177
40,Water Stream Area,4.2,park,24.5808658,46.6971912
41,Wadi hanifa,N\A,park,24.580381,46.6975339
42,Badr Fourth Park,4,park,24.5637374,46.7138393
43,Green land,4,park,24.7135517,46.6752957
44,Badr Third Park,5,park,24.5545215,46.7029965
45,Wadi Namar Dam,4.6,park,24.5745828,46.6861415
46,Wadi Namar,4,park,24.5749572,46.6878102
47,Wadi Namar Start point upperside,5,park,24.5729454,46.6860564
48,Lake Park Namar Dam,4.2,park,24.5709336,46.6733434
49,Al-Safwa Garden,3.7,park,24.7457642,46.8475109
50,Park,4.5,park,24.7462205,46.8482197
51,Garden Shubra First,3.9,park,24.5849376,46.6824632
52,Ishbiliyah 2nd park,4.1,park,24.7943169,46.7894968
53,Square Casablanca ALdar AlBaida,4,park,24.5630389,46.7759282
54,Third-Shifa neighborhood park,4.1,park,24.5605992,46.7037901
55,"General Al Khaleej dist, Park",3.7,park,24.7748141,46.7924663
56,Ishbiliyah Park,4,park,24.8034424,46.8081824
57,Alsofwah Park,2.8,park,24.7449089,46.8459372
58,Alkaleej District Park,3.8,park,24.7819923,46.8241015
59,Almaizilah Park,4.3,park,24.7797158,46.8353622
